lz_name,Helipad? 1/0,lz_city,lz_state,lz_zip,lz_type,added_time,update_time,lz_id,address1,address2,cap_trauma,cap_cardiac,cap_stroke,cap_ob,cap_burn,cap_ped,main_phone,ed_phone,icu_phone,ccu_phone,sec_phone,ed_contact,icu_contact,ccu_contact,sec_contact,sec_freq,ground_name,ground_phone,exterior,faa_nav_id,nav_id,comm_channel,awos,nav_freq,lat_dec,lon_dec,lz_desc,hazards,app_dep,dimensions,max_weight,surface,windsock,elevation,lighting,fuel,ifr,nav_id_alt,lat_dec_alt,lon_dec_alt,desc_alt,comments
Shelby Baptist Medical Center,1,Alabaster,AL,35007,Hospital,5/1/2017 19:35,5/1/2017 19:37,2802,1000 FIRST STREET NORTH,,0,1,0,0,0,0,,,,,,,,,,,,,,AL39,AL39,,,,33.251839,-86.81175,Ground pad east side of hospital.,30' TREES 200' EAST; 20' TOWER 250' WEST. Buildings west of pad. Rising terrain east of pad,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,Tight LZ with a South to North Approach/Depart path against a sharp rising ridgeline to the East.
N.E. Alabama Regional Medical Center,1,Anniston,AL,,Hospital,11/25/2013 17:03,5/1/2017 19:47,2803,400 E 10th St,,0,0,0,0,0,0,,,,,,,,,,,,,,AL42,AL42,,,,33.656006,-85.824378,Rooftop helipad west of main hospital complex east of main north/south roadway.,Elevator shaft SE of pad,,50x50,,Concrete,Lighted windsock,,Amber pad lighting,0,0,,0,0,,"Blue rooftop pad with white cross, red H and white boarders."
Clay County Hospital,1,Ashland,AL,36251,Hospital,11/25/2013 17:06,5/1/2017 19:50,2804,57 Floyd Springs Rd,,0,0,0,0,0,0,(256) 354-2131,,,,,,,,,,,,,OAL2,0AL2,,,,33.277217,-85.824817,Ground pad west side of hospital.,50&#039; PLINES 75&#039; N & E; 30&#039; PLINE-MRKD 50&#039; E & S; 90&#039; ANTENNA-LGTD 75&#039; E. Trees north and west of pad,,24x21,,Concrete,Lighted rooftop windsock,,Green pad lighting,0,0,,0,0,,Ground level pad. Gren pad lights
Medical West,1,Bessemer,AL,35022,Hospital,11/25/2013 17:09,4/27/2017 0:11,2805,995 9th Ave SW,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL19,,,,33.371553,-86.990939,Rooftop pad on south wing of hospital west of parking garage. Windsock located north of the pad.,Antenna on hospital rooftop. Light poles on parking garage east of pad. Buildings extend above pad north.,,40x40,,Concrete,Yes,,Yes,0,0,,0,0,,
Trinity Medical Center,0,Birmingham,AL,35213,Hospital,11/25/2013 17:13,4/16/2018 3:05,2806,800 Montclair Rd,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL45,,,,33.516097,-86.750856,Ground level concrete pad locate southwest of hospital south of parking lot.Windsock located north of the pad.,Rising terrain north of pad. Trees all sides.,,19x19,,Concrete,Yes,,Yes,0,0,,0,0,,PERMANENTLY CLOSED
University of Alabama Hospital,1,Birmingham,AL,35210,Hospital,11/25/2013 17:17,12/21/2017 17:46,2807,619 19th St S,,1,1,0,1,1,0,,,,,,,,,,,,,,,AL38,,,,33.506697,-86.80325,Elevated rooftop helipad in center of hospital. The pad is large and can accommodate 2 helicopters provided one positions in one of the corners when parking.,Elevator building SE of pad. Two other hospital landing pads located in close proximity to the SW.,,60x60,22&#044;000 LBS,Aluminum,Yes,,Yes,0,0,,0,0,,
The Children's Hospital,1,Birmingham,AL,35233,Hospital,11/25/2013 17:27,12/22/2017 8:13,2808,1601 5th Ave S,,0,0,0,0,0,1,(205) 638-9174,,,,,,,,,,,,,,AL91,,,,33.5055,-86.8057,Main Pad. Red roof top on at 11th floor east side of elevator shaft.,Elevator shaft SW of pad. Perimeter fence around pad. Two other hospital landing pads in close proximity&#044; one to the NW and the second to the South.,,70x70,,Concrete,Yes,,Yes,0,0,,0,0,Alt pad Red painted rooftop helipad on east wing of hospital. 300 meters SSE of main pad.,
Brookwood Medical Center ,1,Birmingham,AL,35209,Hospital,11/25/2013 17:32,12/12/2013 13:05,2809,2010 Brookwood Medical Center Dr,,0,0,0,0,0,0,,,,,,,,,,,,,,,0AL8,,,,33.464078,-86.772878,Ground pad east of hospital east side of parking garage.,Rapid rising terrain south of pad. Parking structure west of pad. Trees north and south,,55x55,,Asphalt,Yes,,Yes,0,0,,0,0,,
Baptist Medical Center-Princeton,1,Birmingham,AL,35211,Hospital,11/25/2013 17:35,4/27/2017 0:13,2810,701 Princeton Ave SW,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL50,,,,33.497631,-86.8465,Circular ground level concrete pad located on the south side of hospital.,Buildings north and SE of pad. Trees south of pad,APPROACH & DEPARTURE TO AND FROM THE SW ONLY; APPROACH HEADING IS 40 DEGREES; DEPARTURE HEADING IS 220 DEGREES,20x20,,Concrete,Yes,,Yes,0,0,,0,0,,
St Vincents East,1,Birmingham,AL,,Hospital,11/25/2013 17:38,4/27/2017 0:21,2811,50 Medical Park Dr E,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL65,,,,33.596972,-86.667808,Blue painted ground level concrete pad north side of hospital. Hospital NW of i59/i459 interchange.,High tension wires south of the pad running NW to SE. Rising terrain north and west of pad. Trees north and west. Buildings south of pad,,40x40,,Concrete,Yes,,Yes,0,0,,0,0,,
