OBJECTID,Visual Check,Latitude Decimal Degree,Latitude Degree,Latitude Minute,Latitude Second,Longitude Decimal Degree,Longitude Degree,Longitude Minute,Longitude Second,FAA Code,FSS Frequency,Tone L,Tone N,Elevation (FT MSL),Elevation Place,Facility Name,Facility Street Address,Facility City,Facility Zip Code,Telephone,Nearest Airport,Miles to Nearest Airport,Bearing to Airport,Nearest Jet-A Fuel,Facility Description,Landing Zone Description,Obstacles-Hazards,Comments,Center Frequency,Notice to Airment 1 ,Notice to Airmen 2,Notice to Airmen 3,Notice to Airmen 4,Notice to Airmen 5,Distance to Jet=A (Miles),City Center,Date Updated (UTC),Rest Service Last Updated(UTC),REST_UTC_OFFSET,GLOBALID
10245,1,41.58956639,41,35,22.439,-93.63344083,93,38,0.387,IA64,122.65,,0,990,R,Iowa Methodist,1200 Pleasant Street,Des Moines,50309,515-241-6212,DSM,4.05,199.2,DSM,,,,,125.65,,,,,,4.05,Minneapolis,"12/14/2016, 9:42 AM","12/13/2019, 7:41 AM",-06:00,b8110f07-179c-4704-9cb6-b03c544e5a19
10235,1,42.05595278,42,3,21.43,-94.86727778,94,52,2.2,0IA1,122.3,,0,1300,G,Saint Anthony Regional,"311 S. Clark Street, Box 628",Carroll,51401,712-792-3581,CIN,3.64,101.4,CIN,S center of town; 4 story white brick; windsock on top,S side of hospital in the parking lot.,,,134,,,,,,3.64,Minneapolis,"12/14/2016, 5:39 AM","12/13/2019, 7:41 AM",-06:00,cfbf4424-24d6-43b9-a5a1-d6dd89da92ad
10217,,43.20152667,43,12,5.496,-96.28395806,96,17,2.249,8IA1,122.2,,,1256,G,Hegg Memorial,1202 - 21st Avenue,Rock Valley,51247,712-476-8000,SOY,1.18,251.5,SHL,,,,,124.1,,,,,,22.78,Minneapolis,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,bbfe3528-3c72-4824-9908-98a68e6935b8
10181,1,43.05106111,43,3,3.82,-92.68418889,92,41,3.08,4IA3,122.05,,0,1050,G,Floyd County Memorial,800 - 11th Street,Charles City,50616,641-228-6830,CCY,1.22,10,CCY,,SW corner of hospital adjacent to 13th St; white 30' x 50' structure W of heliport,,Security provided by hospital staff or local police prior to arrival,127.3,,,,,,1.22,Minneapolis,"12/14/2016, 6:30 AM","12/13/2019, 7:41 AM",-06:00,53406ece-5859-4c3d-a4e8-b7ce2519b50b
10201,1,42.485125,42,29,6.45,-91.46755556,91,28,3.2,35,122.05,,0,979,R,Regional Medical Center,709 West Main Street,Manchester,52057,563-927-3232,C27,1.46,285.2,MXO,W side of hospital,,,,132.8,,,,,,23.65,Chicago,"12/16/2016, 5:14 AM","12/13/2019, 7:41 AM",-06:00,8af8cf38-42bb-4dc0-8b61-37c96e190eb7
10185,1,43.38082194,43,22,50.959,-92.11769361,92,7,3.697,15,,,,1290,G,Regional Health Services of Howard County,235 - 8th Avenue West,Cresco,52136,563-547-2101,CJJ,1.36,214.7,DEH,NW corner of town in residential area,S side of hospital on marked concrete pad,,,118.85,,,,,,19.9,Minneapolis,"8/1/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,1c9bcc6b-c5a0-41fe-bde4-25b94e680d96
10236,1,41.30401111,41,18,14.44,-94.45103333,94,27,3.72,26,122.2,,0,1360,G,Adair County Memorial,609 Southeast Kent Street,Greenfield,50849,641-743-2123,GFZ,1.52,25,CSQ,2 Story brick 1/8 mile East of N/S & E/W highway intersection,"South side of hospital, west side of circle drive","200' lighted tower on hospital, 2 light poles on d",,125.65,,,,,,19.55,Minneapolis,"12/15/2016, 11:19 AM","12/13/2019, 7:41 AM",-06:00,55a38bdb-8fed-4f12-b582-c1964d72820f
10292,1,42.72114528,42,43,16.123,-93.734445,93,44,4.002,4IA5,122.3,,,1162,G,Wright County,1316 South Main Street,Clarion,50525,515-532-2811,CAV,2.18,322,CAV,1 story brick S end of town,helipad W of hospital,,,134,,,,,,2.18,Minneapolis,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,c02d9cb6-66b2-4072-a2e9-1b5f0d7dedaa
10195,1,40.62102389,40,37,15.686,-95.65120556,95,39,4.34,2IA5,0,,0,961,G,George C. Grape Community,2959 Us Highway 275,Hamburg,51640,712-382-1515,SDA,16.02,52.01,SDA,1 story limestone brick on N edge of town,Painted concrete helipad on NW side of hospital,Trees directly west of the helipad.,,119.6,,,,,,16.02,Minneapolis,"12/16/2016, 2:35 AM","12/13/2019, 7:41 AM",-06:00,633830e2-4b3a-41ab-8074-1d58fd47baa9
10184,1,41.26938056,41,16,9.77,-95.83460556,95,50,4.58,14,122.2,,,1048,G,Jenny Edmundson,"933 East Pierce Street, Box 2C",Council Bluffs,51502,712-396-6000,CBF,4.21,102.8,CBF,,,,,,,,,,,4.21,Kansas City,"7/30/2009, 8:00 PM","12/13/2019, 7:41 AM",-06:00,2da18bbb-ec10-4c3c-8641-09ffe8fb386c
10285,1,41.74225194,41,44,32.107,-92.73472,92,44,4.992,IA09,122.35,,,1010,R,Grinnell Regional Medical,210 - 4th Avenue,Grinnell,50112,641-236-7511,GGI,2.6,180.1,GGI,"W end of town, S of main highway",upper level helipad S side of hospital,portable MRI unit parked under the helipad; cell tower nearby,ER direct phone line 641-236-2380,127.05,No markings on alternate pad; photo shows parking lot where local police will secure,,,,,2.6,Chicago,"7/30/2009, 8:00 PM","12/13/2019, 7:41 AM",-06:00,52501acb-8f17-43a7-ab60-ff556739b9bc
10275,1,40.62671806,40,37,36.185,-91.38475278,91,23,5.11,24,122.2,,0,557,G,Fort Madison Community,"5445 Avenue 'O', Box 174",Fort Madison,52627,319-372-6530,FSW,3.79,55.2,FSW,1 story brown brick W end of town,40' x 40' concrete pad,,"4,000 gallon fuel tank installed S side of pad; hangar and crew quarters W side of pad",135.6,,,,,,3.79,Chicago,"12/15/2016, 11:16 AM","12/13/2019, 7:41 AM",-06:00,c72657bd-7460-4b4e-803e-8351904e8942
10221,1,42.49723611,42,29,50.05,-96.40146389,96,24,5.27,5IA4,122.45,,0,1185,N,Mercy Medical Center,"801 Fifth Street, Box 31686",Sioux City,51101,712-279-2576,SUX,6.6,173,SUX,"8 story brick in center of town, 2 blocks N of 12 story Hilton",open area 1/2 block N of hospital,,,128,,,,,,6.6,Minneapolis,"12/16/2016, 7:03 AM","12/13/2019, 7:41 AM",-06:00,d71878bf-270b-451c-8060-406fb886ee94
10272,1,41.70368667,41,42,13.272,-93.05163333,93,3,5.88,5IA0,122.2,,0,947,G,Skiff Medical Center,204 North 4th Avenue East,Newton,50208,641-791-4300,TNU,2.72,142.1,TNU,NE of town square,N side of hospital,,hospital maintenance secures lz,118.15,,,,,,2.72,Chicago,"12/16/2016, 6:01 AM","12/13/2019, 7:41 AM",-06:00,f92a1698-6fe3-483f-91e3-332abf37be0f
10207,,42.23823694,42,14,17.653,-91.20166111,91,12,5.98,42,122.2,,,837,G,John Mc Donald,West First Street,Monticello,52310,319-465-3511,MXO,2.34,124.6,MXO,,,,,132.8,Uses airport for patient pickup (pad is closed) 4-20-10,,,,,2.34,Chicago,"4/19/2010, 8:00 PM","12/13/2019, 7:41 AM",-06:00,91dce6fe-8be3-4d2f-976a-bb71e137c8e2
10210,1,42.67578,42,40,32.808,-91.90167222,91,54,6.02,IA57,122.2,,0,1119,G,Mercy Hospital Of Franciscan,129 8th Avenue Southeast,Oelwein,50662,319-283-6000,OLZ,3.48,268.7,OLZ,,landing pad NE of hospital,,,118.9,,,,,,3.48,Chicago,"12/16/2016, 6:01 AM","12/13/2019, 7:41 AM",-06:00,8b69a2c6-d3bd-4f5d-a812-ff8dc49b32ba
10255,1,41.025125,41,1,30.45,-93.76876389,93,46,7.55,6IA9,122.65,,0,1134,G,Clarke County,800 South Fillmore Street.,Osceola,50213,641-342-2184,I75,4.54,67.8,I75,S center of town,,trees & flag pole,,125.65,New Helipad under construction S side of hospital (entered 12/15/16).,,,,,4.54,Minneapolis,"12/16/2016, 6:26 AM","12/13/2019, 7:41 AM",-06:00,52cc9259-9cea-4cae-b773-05f90214c50a
