Data Source1,F11,Latitude,Longitude
Manual ID,11346,34.05227714,-118.264137463
Manual ID,11345,34.053813025,-118.2491324
Manual ID,11344,34.053256995,-118.249804771
Manual ID,11343,34.053416335,-118.248671449
Manual ID,11342,34.052415837,-118.248886319
Manual ID,11341,34.05244734,-118.249639443
Manual ID,11340,34.052748627,-118.250321025
Manual ID,11339,34.052369922,-118.251318875
Manual ID,11338,34.053022441,-118.251847404
Manual ID,11337,34.052199443,-118.252621832
Manual ID,11336,34.051503104,-118.253636974
Manual ID,11335,34.051706561,-118.25510235
Manual ID,11334,34.052823043,-118.255884864
Manual ID,11333,34.051623672,-118.257093884
Manual ID,11332,34.052166538,-118.258194802
Manual ID,11331,34.05083179,-118.259548271
Manual ID,11330,34.051023057,-118.260201838
Manual ID,11329,34.053952571,-118.265363729
Manual ID,11328,34.052621235,-118.262836212
Manual ID,11327,34.054948551,-118.264978152
Manual ID,11326,34.054249694,-118.265950331
Manual ID,11325,34.058063206,-118.249482233
Manual ID,11324,34.053860833,-118.253122274
Manual ID,11323,34.053753073,-118.251554163
Manual ID,11322,34.054213454,-118.251289388
Manual ID,11321,34.054729496,-118.259653724
Manual ID,11320,34.054417271,-118.255807817
Manual ID,11319,34.056455474,-118.257706791
Manual ID,11318,34.057623318,-118.256054059
Manual ID,11317,34.05609801,-118.2518878
Manual ID,11316,34.057754167,-118.252484068
Manual ID,11315,34.057262853,-118.253671533
Manual ID,11314,34.059295049,-118.251053191
Manual ID,11313,34.058949639,-118.251686111
HelloPad - Cluster Analysis,5438,34.051372396,-118.251034199
HelloPad - Cluster Analysis,5437,34.051536668,-118.253538309
HelloPad - Cluster Analysis,5436,34.051642272,-118.255056654
HelloPad - Cluster Analysis,5435,34.051548402,-118.257028185
HelloPad - Cluster Analysis,5434,34.051618805,-118.258716474
HelloPad - Cluster Analysis,5433,34.052400135,-118.248878561
HelloPad - Cluster Analysis,5432,34.052059859,-118.249935137
HelloPad - Cluster Analysis,5431,34.052329733,-118.249651895
HelloPad - Cluster Analysis,5430,34.051954257,-118.250935064
HelloPad - Cluster Analysis,5429,34.052165462,-118.250651823
HelloPad - Cluster Analysis,5428,34.051954257,-118.25165175
HelloPad - Cluster Analysis,5427,34.052376668,-118.251340185
HelloPad - Cluster Analysis,5426,34.052212397,-118.25259503
HelloPad - Cluster Analysis,5425,34.052141995,-118.258178316
HelloPad - Cluster Analysis,5424,34.052470537,-118.261291395
HelloPad - Cluster Analysis,5423,34.052259331,-118.263922964
HelloPad - Cluster Analysis,5422,34.05218893,-118.264243112
HelloPad - Cluster Analysis,5421,34.053181465,-118.249793516
HelloPad - Cluster Analysis,5420,34.053087596,-118.250708471
HelloPad - Cluster Analysis,5419,34.053064129,-118.251821695
HelloPad - Cluster Analysis,5418,34.052829458,-118.252425085
HelloPad - Cluster Analysis,5417,34.053169731,-118.254368292
HelloPad - Cluster Analysis,5416,34.052794257,-118.255886637
HelloPad - Cluster Analysis,5415,34.053181465,-118.255914961
HelloPad - Cluster Analysis,5414,34.053157998,-118.257659899
HelloPad - Cluster Analysis,5413,34.052829458,-118.261036478
HelloPad - Cluster Analysis,5412,34.052876392,-118.263738857
HelloPad - Cluster Analysis,5411,34.053064129,-118.264384733
HelloPad - Cluster Analysis,5410,34.052923327,-118.265356336
HelloPad - Cluster Analysis,5409,34.053798525,-118.249133478
HelloPad - Cluster Analysis,5408,34.053927593,-118.250949226
HelloPad - Cluster Analysis,5407,34.05371639,-118.251595102
HelloPad - Cluster Analysis,5406,34.053892392,-118.253099285
HelloPad - Cluster Analysis,5405,34.053446521,-118.261348043
HelloPad - Cluster Analysis,5404,34.053563856,-118.261923109
HelloPad - Cluster Analysis,5403,34.053951115,-118.262611471
HelloPad - Cluster Analysis,5402,34.053704657,-118.263724695
HelloPad - Cluster Analysis,5401,34.053915859,-118.266101347
HelloPad - Cluster Analysis,5400,34.054439053,-118.250595175
HelloPad - Cluster Analysis,5399,34.054227852,-118.251340185
HelloPad - Cluster Analysis,5398,34.054368653,-118.252198492
HelloPad - Cluster Analysis,5397,34.054392119,-118.25577334
HelloPad - Cluster Analysis,5396,34.054298253,-118.265959726
HelloPad - Cluster Analysis,5395,34.05489185,-118.259574781
HelloPad - Cluster Analysis,5394,34.055649714,-118.254801737
HelloPad - Cluster Analysis,5393,34.055884377,-118.263498102
HelloPad - Cluster Analysis,5392,34.056477975,-118.257659899
HelloPad - Cluster Analysis,5391,34.056313712,-118.263611398
HelloPad - Cluster Analysis,5390,34.057470496,-118.249680219
HelloPad - Cluster Analysis,5389,34.057470496,-118.256155716
HelloPad - Cluster Analysis,5388,34.056954246,-118.256773268
HelloPad - Cluster Analysis,5387,34.057735575,-118.24799193
HelloPad - Cluster Analysis,5386,34.057805972,-118.250076757
HelloPad - Cluster Analysis,5385,34.05767691,-118.252396761
HelloPad - Cluster Analysis,5384,34.057782506,-118.257574926
HelloPad - Cluster Analysis,5383,34.057876369,-118.259079109
HelloPad - Cluster Analysis,5382,34.058075828,-118.260206495
HelloPad - Cluster Analysis,5381,34.057817705,-118.263036333
HelloPad - Cluster Analysis,5380,34.057993697,-118.262696443
HelloPad - Cluster Analysis,5379,34.058915816,-118.251623426
HelloPad - Cluster Analysis,5378,34.05863423,-118.25854653
HelloPad - Cluster Analysis,5377,34.058868885,-118.259404836
HelloPad - Cluster Analysis,5376,34.058868885,-118.260838209
HelloPad - Cluster Analysis,5375,34.059321694,-118.251048361
HelloPad - Cluster Analysis,5374,34.059556347,-118.25334004
HelloPad - Cluster Analysis,5373,34.059345159,-118.259121595
FAA,11307,44.012205556,-107.949402778
FAA,11306,42.083502778,-104.192422222
FAA,11305,44.807666667,-106.975419444
FAA,11304,41.585975,-109.234569444
FAA,11303,43.034413889,-108.418752778
FAA,11302,41.787347222,-107.260722222
FAA,11301,44.757338889,-108.772225
FAA,11300,42.870894444,-109.852269444
FAA,11299,41.312416667,-105.554591667
FAA,11298,41.789336111,-110.541763889
FAA,11297,43.484722222,-110.761666667
FAA,11296,43.4769,-110.790441667
FAA,11295,43.4801,-110.749686111
FAA,11294,43.299333333,-110.777133333
FAA,11293,43.301466667,-110.775566667
FAA,11292,43.602153056,-110.750764167
FAA,11291,44.290266667,-105.519097222
FAA,11290,41.243677778,-110.989994444
FAA,11289,44.527077778,-109.073522222
FAA,11288,41.133315,-104.867191667
FAA,11287,41.157203333,-104.811634722
FAA,11286,42.8476,-106.308386111
FAA,11285,42.853576111,-106.336415
FAA,11284,42.840361111,-106.224444444
FAA,11283,42.826666667,-106.254166667
FAA,11282,42.556358333,-110.111477778
FAA,11281,40.053055556,-80.724722222
FAA,11280,39.048255556,-80.492447222
FAA,11279,40.393778667,-80.527402528
FAA,11278,38.570919444,-82.062362222
FAA,11277,38.618333333,-80.757777778
FAA,11276,38.410394444,-79.995344444
FAA,11275,37.772052778,-80.470338889
FAA,11274,39.333611111,-78.6975
FAA,11273,37.771944444,-81.932777778
FAA,11272,38.22,-80.534733333
FAA,11271,37.361836111,-81.112833333
FAA,11270,38.868647222,-82.121733333
FAA,11269,39.338138889,-81.442888889
FAA,11268,39.280119,-81.552082
FAA,11267,39.681188889,-80.848697222
FAA,11266,37.889161111,-81.120558333
FAA,11265,37.834155556,-81.196655556
FAA,11264,39.653008333,-79.957402778
FAA,11263,39.65295,-79.957391667
FAA,11262,39.415027778,-77.913086111
FAA,11261,39.475630556,-77.979516667
FAA,11260,38.400555556,-79.995833333
FAA,11259,37.833731944,-80.436741667
FAA,11258,39.4104,-79.003233333
FAA,11257,38.377361111,-82.516641667
FAA,11256,38.430541667,-82.399872222
FAA,11255,38.410255556,-82.42665
FAA,11254,39.343425,-80.029180556
FAA,11253,38.762216667,-81.696030556
FAA,11252,37.748447778,-81.222322778
FAA,11251,39.270555556,-80.364275
FAA,11250,39.273055556,-80.378888889
FAA,11249,38.382594167,-81.759571667
FAA,11248,38.347686111,-81.627611111
FAA,11247,39.329341667,-80.238666667
FAA,11246,37.254561667,-81.233708889
FAA,11245,37.254902778,-81.2356
FAA,11244,39.642925,-78.201002778
FAA,11243,38.227879444,-81.532895833
FAA,11242,37.783448611,-81.116486667
FAA,11241,37.724560833,-81.097040556
FAA,11240,37.799491667,-81.167691667
FAA,11239,45.894447222,-89.703569444
FAA,11238,43.627229444,-89.785069167
FAA,11237,44.367313889,-91.332727778
FAA,11236,44.889455556,-89.57905
FAA,11235,43.417777778,-88.192594444
FAA,11234,43.041383333,-88.02295
FAA,11233,44.966847222,-89.666791667
FAA,11232,43.632479139,-88.74639525
FAA,11231,44.345463889,-89.076158333
FAA,11230,43.011011667,-88.242815
